Time,Flux,Flux_Err,Filt,mod_flux
2071.174538122912,105.65263,10.238949,True,105.65263366699219
2071.1949702112615,109.98688,10.239443,True,109.98687744140625
2071.2154021991373,48.377304,10.23938,True,48.37730407714844
2071.2766981609166,46.519547,10.240971,True,46.51954650878906
2071.317562133423,108.714775,10.239975,True,108.71477508544922
2071.3379941189705,169.02531,10.243975,True,169.0253143310547
2071.3584261045253,104.62576,10.243986,True,104.62576293945312
2071.3788580891487,75.162445,10.239513,True,75.16244506835938
2071.399290073765,14.263512,10.239227,True,14.263511657714844
2071.4197221579234,71.27699,10.239586,True,71.27699279785156
2071.4401540416147,145.10666,10.241294,True,145.10665893554688
2071.4605860252996,17.280815,10.240108,True,17.28081512451172
2071.481018108061,81.33271,10.23861,True,81.33271026611328
2071.501449990821,10.651684,10.239864,True,10.651683807373047
2071.521881973109,111.38124,10.239372,True,111.38124084472656
2071.542314054939,114.019135,10.240652,True,114.01913452148438
2071.5627459363022,14.669514,10.239464,True,14.669513702392578
2071.583177917193,83.1528,10.240113,True,83.15280151367188
2071.603609998092,109.00464,10.240612,True,109.004638671875
2071.6240418785237,182.89847,10.245075,True,182.89846801757812
2071.6444738584833,141.53119,10.242821,True,141.53118896484375
2071.664905937985,17.65633,10.23875,True,17.656330108642578
2071.68533781702,68.676346,10.241238,True,68.67634582519531
2071.705769796048,95.10448,10.240524,True,95.10447692871094
2071.7262018746187,76.26983,10.241112,True,76.26982879638672
2071.7466338527156,190.35,10.242372,True,190.35000610351562
2071.767065830354,121.036545,10.241166,True,121.03654479980469
2071.787497807527,137.04501,10.240905,True,137.04501342773438
2071.8079297847,201.7708,10.245264,True,201.7707977294922
2071.828361760934,107.882034,10.244532,True,107.88203430175781
2071.8487937371756,72.63236,10.242982,True,72.63236236572266
2071.869225712944,92.019165,10.243165,True,92.0191650390625
2071.9100896635646,10.472061,10.242529,True,10.472061157226562
2071.9305216379435,28.458572,10.241095,True,28.458572387695312
2071.950953712316,157.68301,10.241078,True,157.68301391601562
2071.9713855862283,135.33669,10.241932,True,135.33668518066406
2072.073545450192,32.50634,10.242016,True,32.50634002685547
2072.093977421777,50.76478,10.242705,True,50.76477813720703
2072.1144093933544,180.8866,10.2453,True,180.8865966796875
2072.134841364008,72.18892,10.242665,True,72.18891906738281
2072.1552733346616,79.65579,10.24455,True,79.65579223632812
2072.1757053048495,153.48242,10.242526,True,153.482421875
2072.1961372745645,77.97421,10.2425995,True,77.97421264648438
2072.257433281862,50.233448,10.240968,True,50.23344802856445
2072.2778651501867,40.097443,10.241678,True,40.097442626953125
2072.29829721804,61.196873,10.2411175,True,61.19687271118164
2072.3187291854338,48.6898,10.241764,True,48.68980026245117
2072.339161052827,41.922165,10.241932,True,41.92216491699219
2072.3800250857457,87.16994,10.243136,True,87.16993713378906
2072.400456951742,123.35449,10.243843,True,123.3544921875
2072.461752847863,146.66084,10.242948,True,146.6608428955078
2072.563912766658,27.820072,10.241605,True,27.820072174072266
2072.5843447293955,40.42538,10.240901,True,40.42538070678711
2072.6252086539316,106.69605,10.242181,True,106.69605255126953
2072.6456407152727,112.08,10.242841,True,112.08000183105469
2072.666072576605,74.75293,10.242492,True,74.7529296875
2072.68650453748,24.368248,10.241762,True,24.368247985839844
2072.7069365978823,72.862206,10.243825,True,72.8622055053711
2072.7478004177683,83.927025,10.242715,True,83.9270248413086
2072.768232476781,219.0494,10.249055,True,219.0493927001953
