Time,Flux,Flux_Err,Filt
2101.5157238403044,-81.71604,10.485892,False
2101.5361555667114,-97.668396,10.485774,False
2101.5565870930077,-146.27904,10.486017,False
2101.5770187193048,-39.39135,10.488652,False
2101.597450445479,-134.87366,10.486069,False
2101.6178819715424,-189.86435,10.4863615,False
2101.63831359749,-22.418575,10.487986,False
2101.6587453234315,-86.10661,10.487853,False
2101.6791769491465,-62.865307,10.488467,False
2101.6996084748607,-8.56422,10.489251,False
2101.720040200569,-62.80865,10.489212,False
2101.7404718260514,-66.000916,10.488844,False
2101.7609033515328,-72.26842,10.489379,False
2101.781335076892,-100.92641,10.4904,False
2101.8017667021413,-34.457233,10.492081,False
2101.8221984272677,-179.83821,10.491008,False
2101.8426299524,-80.010315,10.491033,False
2101.8630615774164,-64.04388,10.491174,False
2101.88349330231,-55.5738,10.490753,False
2101.9039248272093,-41.03131,10.490663,False
2101.924356451993,-7.731449,10.492657,False
2101.9447881766537,23.556396,10.492615,True
2101.9652197012038,-24.388493,10.49485,False
2101.985651325638,24.544342,10.496427,True
2102.006083050066,45.944344,10.4952135,True
2102.0265145743833,143.02257,10.497875,True
2102.0469462985857,143.26707,10.497956,True
2102.06737792278,69.42267,10.497137,True
2102.108241170834,110.367775,10.498205,True
2102.128672794679,117.32072,10.499186,True
2102.1491044185314,82.45215,10.500521,True
2102.1695360422673,95.128685,10.500764,True
2102.1899676658795,121.04851,10.500796,True
2102.210399189382,221.59444,10.503539,True
2102.2308309128857,231.4793,10.504414,True
2102.251262536265,238.5849,10.50592,True
2102.271694059651,276.79572,10.5065565,True
2102.2921257828057,347.37857,10.508034,True
2102.3125574059522,337.0001,10.5110235,True
2102.3329891289904,952.5391,10.532828,False
2102.353420652027,377.52026,10.514459,True
2102.3738522748245,424.72427,10.514004,False
2102.39428399763,440.87256,10.51477,False
2102.4147155204337,431.38486,10.516561,False
2102.435147142998,423.6345,10.518345,False
2102.4555788655707,456.88367,10.520012,False
2102.4760103881417,483.1886,10.520824,False
2102.4964420104734,378.10718,10.519488,True
2102.516873732813,408.1902,10.520865,False
2102.537305255035,489.0534,10.519296,False
2102.578168599357,221.82423,10.5155,True
2102.6190318432127,127.0522,10.513027,True
2102.639463465086,118.35571,10.512658,True
2102.659895086843,90.43558,10.511777,True
2102.6803267085925,12.039719,10.510634,True
2102.721189951757,0.25188446,10.510113,True
2102.9255061627773,118.86273,10.516656,True
2102.9459377834864,210.2623,10.518567,True
2102.9663695040726,240.56834,10.519777,True
2102.9868010246646,345.0331,10.52222,True
2103.3954335198214,1463.4592,10.565836,False
2103.4158652389015,1478.7054,10.566559,False
2103.456728376703,1356.2428,10.56243,False
2103.4771600954336,1353.1058,10.560963,False
2103.9675189261543,-55.57936,10.532936,False
2104.0901086279264,-11.755348,10.535573,False
2104.1105403445545,53.854465,10.5362215,True
2104.1309719613055,181.04169,10.537622,True
2104.151403677941,262.8008,10.539449,True
2104.1718351944583,294.44006,10.53944,True
2104.192266810969,252.34326,10.539315,True
2104.212698427371,282.57916,10.541072,True
2104.2331300437654,167.53976,10.541145,True
2104.2535616600508,203.03697,10.542916,True
2104.2739932762197,142.22795,10.543666,True
2104.294424892505,38.177486,10.543426,True
2104.3148565085503,94.67833,10.545002,True
2104.3352882246036,-79.99103,10.5514765,False
2104.3965830724046,-90.046295,10.551906,False
2104.4170145882235,69.28,10.552865,True
2104.45787791974,51.83936,10.557389,True
2104.478309435319,-120.00363,10.5571375,False
2104.4987411509064,36.31058,10.558938,True
2104.5191727664933,171.73656,10.562595,True
2104.539604281963,77.83435,10.565828,True
2104.5600359973105,104.81395,10.56511,True
2104.5804676126645,280.1371,10.569631,True
2104.621330843249,405.10455,10.577525,False
2104.64176245837,399.0705,10.579083,False
2104.6621941734847,358.2502,10.581254,True
2104.682625688605,531.82306,10.58767,False
2104.70305730361,324.72488,10.55997,True
2104.723489018492,-514.24963,10.496022,False
2104.7439205333794,600.74475,10.588524,False
2104.764352148268,959.50073,10.595772,False
2104.784783863033,804.6888,10.596512,False
2104.8052154776888,5.5035744,10.596856,True
2104.82564699246,449.94846,10.59873,False
2104.927805164909,764.631,10.598354,False
2104.9482367793316,581.5423,10.597809,False
2104.9686683936307,496.8622,10.599616,False
2104.9890999078198,460.2886,10.603043,False
2105.0095316220104,377.6596,10.604694,True
2105.029963236193,691.66187,10.611892,False
2105.0503947502657,680.3565,10.613977,False
2105.0708264642235,834.69946,10.632173,False
2105.1729846335293,-973.5221,10.643051,False
2105.193416147362,-1479.1104,10.643147,False
2105.2138477609697,-1722.7532,10.648317,False
2105.234279474578,-1784.0516,10.656711,False
2105.2547109881853,-1813.5007,10.671457,False
2105.2751426016694,-1696.5892,10.674011,False
2105.2955743151615,-1944.158,10.665949,False
2105.316005928529,-1867.4535,10.668186,False
2105.4385956079495,-4013.4988,10.777013,False
2105.6020485112094,-1996.4009,11.165983,False
2105.6224802238794,-813.1066,11.258388,False
2105.642911836556,2478.457,11.404985,False
2105.6633433492316,9691.663,11.624409,False
2105.6837750616687,21643.033,11.891831,False
2105.704206574228,35085.29,12.220447,False
2105.7246381866717,52064.453,12.64665,False
2105.745069899109,72354.81,13.152238,False
2105.7655014115517,94774.87,13.710087,False
2105.785933023879,125441.14,14.424408,False
2105.806364736083,178146.23,15.582258,False
2105.8880911848028,318394.44,18.375708,False
2105.908522796897,339493.28,18.892706,False
2105.928954408868,411517.28,21.741484,False
2105.949386020846,12409771.0,94.80946,False
2105.9698177328246,8202506.5,78.88208,False
2105.990249244678,234658.45,17.788553,False
2106.0106808565397,232544.89,16.73985,False
2106.0311125683947,191914.48,15.815679,False
2106.051544080139,149030.58,14.889885,False
2106.09240740363,85179.57,13.359682,False
2106.112838915251,64441.746,12.780729,False
2106.1332706268804,47308.957,12.287508,False
2106.1537022383854,37952.12,12.004973,False
2106.174133749897,39755.0,12.013239,False
2106.19456546141,21304.053,11.4681635,False
2106.214997072806,12809.989,11.198928,False
2106.2354285843103,9440.427,11.110751,False
2106.2558602955905,7810.6455,11.036206,False
2106.276291906979,5483.1265,10.96991,False
2106.2967235182587,3171.272,10.901408,False
2106.358018351857,1458.9136,10.8135395,False
2106.37844996302,903.1911,10.790172,False
2106.3988815740595,-275.8791,10.762143,False
2106.419313185106,-776.15924,10.74718,False
2106.439744796153,-470.78314,10.7523985,False
2106.4601764071995,-922.7909,10.733235,False
2106.4806080181224,-1564.2267,10.697172,False
2106.5010396289363,-1825.3634,10.68615,False
2106.5214712398592,-2498.235,10.681904,False
2106.541902950674,-1720.4569,10.669298,False
2106.6236292936883,-1127.069,10.648791,False
2106.644061004379,-717.1494,10.645548,False
2106.66449261496,-405.55334,10.640643,False
2106.6849241255404,-404.0597,10.635635,False
2106.7462189571597,-318.64917,10.631106,False
2106.766650667618,-9.936481,10.624549,False
2106.787082277966,89.642,10.625427,True
2106.9096719398076,3441.3228,10.628528,False
2106.9505351601474,3633.8667,10.627085,False
2106.9709667702627,3109.8037,10.626408,False
2106.991398480379,472.7799,10.631422,False
2107.011830090487,2487.8796,10.618542,False
2107.032261700486,2898.1257,10.622195,False
2107.0731248204756,3756.8528,10.625523,False
2107.093556530359,3545.3022,10.631081,False
2107.1344196502323,2819.686,10.626402,False
2107.1548513601156,3585.2517,10.625589,False
2107.1752829698817,3015.0234,10.628319,False
2107.1957144796397,1158.442,10.615804,False
2107.2161461894066,3196.8982,10.626269,False
2107.2365777991727,3097.7798,10.627683,False
2107.2570095089322,933.53796,10.615183,False
2107.277441018581,1548.5503,10.617793,False
2107.4000306761154,193.05453,10.627166,True
2107.5021888233023,3105.3047,10.641175,False
2107.522620432661,2702.7551,10.635099,False
2107.5634836513127,3615.548,10.621859,False
2107.583915260613,3613.5225,10.62017,False
2107.604346969849,943.22675,10.624894,False
2107.6247784790903,896.1405,10.62353,False
2107.6452100883325,964.6044,10.622596,False
2107.66564179751,817.13934,10.615727,False
2107.6860733066933,768.9485,10.614406,False
2107.70650501582,773.99805,10.612781,False
2107.7269365249376,686.5699,10.611742,False
2107.7473681340634,708.216,10.611196,False
2107.767799843132,825.6366,10.609573,False
2107.8086629612008,190.95337,10.6091175,True
2107.829094670211,286.15323,10.611712,True
2107.8495261792123,444.695,10.616271,False
2107.8699577881634,794.0805,10.6265545,False
2107.8903894971154,734.77277,10.623496,False
2107.9108210060585,683.2569,10.613882,False
2107.9312526149515,626.736,10.613881,False
2107.9516843238453,783.1029,10.616927,False
2107.972115832672,820.9587,10.618509,False
2107.9925475415075,716.56036,10.617011,False
2108.0129791503423,716.69745,10.618144,False
2108.094705585434,781.8031,10.619333,False
2108.1355688028707,789.4733,10.62162,False
2108.1560004115818,833.87915,10.622724,False
2108.1764321202427,928.41486,10.624262,False
2108.196863628902,852.39606,10.62353,False
2108.2172953374975,817.8191,10.62384,False
2108.2377269461576,831.93463,10.623628,False
2108.258158454759,1019.981,10.675636,False
2108.299021771898,799.68054,10.635156,False
2108.360316597522,852.0699,10.636016,False
2108.3807481060066,930.20264,10.637036,False
2108.4011798144857,871.491,10.636963,False
2108.421611422971,931.8668,10.639213,False
2108.442043031391,831.8411,10.637504,False
2108.4624746398767,803.7379,10.638054,False
2108.4829061483033,808.19714,10.638345,False
2108.503337856673,686.4327,10.6371,False
2108.6054958985624,685.62213,10.636661,False
2108.6259275068733,600.2347,10.634878,False
2108.646359115177,596.32855,10.634935,False
2108.6667908234886,585.16907,10.634069,False
2108.687222431792,563.03705,10.634061,False
2108.707653940044,460.02905,10.631438,False
2108.728085648356,466.892,10.631214,False
2108.748517256601,491.1863,10.631106,False
2108.8302435894875,321.73102,10.628583,True
2108.8506752976828,337.77698,10.628806,True
2108.87110690587,340.29318,10.629073,True
2108.891538614065,387.8921,10.629149,True
2108.911970122259,481.2391,10.631677,False
2108.932401730388,401.63202,10.630203,False
2108.952833438525,480.38626,10.63234,False
2108.9732649467187,455.23096,10.632391,False
2108.9936965548477,567.51794,10.634583,False
2109.034559771062,699.34424,10.6367855,False
2109.054991379191,784.50824,10.638771,False
2109.07542308727,634.21857,10.63595,False
2109.095854595347,547.4406,10.6326275,False
2109.116286303477,600.6449,10.633264,False
2109.1367178115543,648.41785,10.634342,False
2109.1571494196323,674.9284,10.635378,False
2109.1775811276457,739.252,10.637083,False
2109.198012635723,820.11444,10.63844,False
2109.218444243801,840.2499,10.638504,False
2109.2388759518144,894.1569,10.640646,False
2109.300170775925,994.026,10.6445,False
2109.341034091907,1082.9121,10.647632,False
2109.361465599919,998.01666,10.64762,False
2109.381897207939,1136.5497,10.649704,False
